Label;Scope;Max;Value
3.1 Node class (3 points);Subtotal;3.00;2.00
3.1.1 Node creation;Element;0.50;0.50
3.1.2 Child addition;Element;0.50;0.50
3.1.3 String representation: elements in addition order;Element;0.50;0.50
3.1.4 Node size and height;Element;0.50;0.50
3.1.5 Node class visibilities;Element;0.50;0.00
3.1.6 String representation: indentation;Element;0.50;0.00
