Label;Scope;Max;Value
2.1 Bike class (4 points);Subtotal;4.00;4.00
2.1.1 Constructor, id and totalDistance attributes and getters;Element;1.00;1.00
2.1.2 toString() method;Element;1.00;1.00
2.1.3 rentals attribute and getter;Element;1.00;1.00
2.1.4 public and private visibility;Element;1.00;1.00
